iter	Passed	Remaining
267	4914	50095
268	4933	50086
269	4951	50060
270	4969	50044
271	4987	50021
272	5004	49992
273	5024	49983
274	5041	49960
275	5059	49934
276	5082	49959
277	5100	49936
278	5120	49934
279	5138	49916
280	5155	49886
281	5172	49854
282	5189	49822
283	5205	49784
284	5222	49752
285	5239	49717
286	5258	49706
287	5276	49683
288	5293	49653
289	5310	49625
290	5329	49613
291	5347	49591
292	5367	49589
293	5385	49564
294	5402	49537
295	5421	49527
296	5440	49510
297	5461	49518
298	5479	49498
299	5496	49472
300	5516	49467
301	5534	49445
302	5553	49434
303	5571	49409
304	5588	49383
305	5607	49369
306	5626	49351
307	5645	49347
308	5666	49348
309	5684	49327
310	5701	49298
311	5719	49272
312	5736	49248
313	5754	49222
314	5774	49223
315	5795	49223
316	5815	49224
317	5834	49209
318	5852	49186
319	5871	49172
320	5889	49148
321	5907	49127
322	5925	49108
323	5943	49087
324	5961	49066
325	5978	49037
326	5996	49016
327	6014	48999
328	6032	48971
329	6050	48954
330	6067	48926
331	6085	48900
332	6103	48879
333	6120	48853
334	6137	48826
335	6155	48800
336	6172	48775
337	6189	48744
338	6206	48715
339	6223	48689
340	6240	48663
341	6258	48637
342	6275	48609
343	6291	48579
344	6312	48581
345	6331	48564
346	6351	48557
347	6368	48535
348	6386	48514
349	6405	48498
350	6423	48477
351	6442	48462
352	6461	48451
353	6479	48429
354	6498	48420
355	6516	48399
356	6535	48387
357	6553	48364
358	6570	48338
359	6589	48319
360	6607	48300
361	6624	48276
362	6642	48252
363	6659	48229
364	6677	48206
365	6695	48187
366	6712	48160
367	6730	48138
368	6749	48121
369	6768	48110
370	6786	48089
371	6808	48098
372	6828	48092
373	6850	48101
374	6868	48082
375	6887	48064
376	6904	48039
377	6923	48023
378	6943	48015
379	6962	48003
380	6980	47982
381	6998	47965
382	7017	47946
383	7040	47960
384	7058	47943
385	7079	47939
386	7099	47935
387	7117	47915
388	7137	47910
389	7162	47935
390	7182	47925
391	7200	47902
392	7219	47893
393	7241	47895
394	7260	47882
395	7280	47875
396	7299	47857
397	7320	47862
398	7344	47875
399	7363	47861
400	7384	47858
401	7404	47852
402	7425	47852
403	7447	47854
404	7466	47842
405	7483	47814
406	7503	47807
407	7522	47789
408	7540	47767
409	7560	47760
410	7578	47740
411	7601	47746
412	7618	47720
413	7634	47690
414	7652	47663
415	7669	47640
416	7686	47614
417	7703	47586
418	7721	47561
419	7738	47538
420	7755	47510
421	7772	47479
422	7790	47458
423	7808	47438
424	7826	47422
425	7844	47399
426	7861	47374
427	7880	47357
428	7899	47344
429	7917	47323
430	7936	47307
431	7955	47293
432	7973	47270
433	7991	47249
434	8009	47225
435	8027	47206
436	8043	47177
437	8061	47153
438	8080	47137
439	8099	47124
440	8116	47098
441	8136	47088
442	8155	47071
443	8172	47045
444	8190	47024
445	8207	46998
446	8224	46973
447	8242	46955
448	8261	46938
449	8280	46920
450	8298	46900
451	8314	46872
452	8334	46859
453	8351	46837
454	8369	46813
455	8387	46792
456	8404	46768
457	8421	46743
458	8441	46729
459	8460	46716
460	8478	46698
461	8497	46680
462	8515	46661
463	8534	46646
464	8552	46626
465	8570	46603
466	8589	46591
467	8607	46569
468	8627	46560
469	8646	46545
470	8666	46532
471	8685	46518
472	8702	46494
473	8720	46470
474	8736	46443
475	8757	46438
476	8776	46423
477	8793	46398
478	8810	46372
479	8827	46344
480	8848	46339
481	8866	46319
482	8887	46314
483	8908	46308
484	8925	46281
485	8943	46263
486	8961	46244
487	8981	46230
488	8998	46208
489	9016	46184
490	9033	46161
491	9051	46138
492	9071	46132
493	9091	46117
494	9108	46094
495	9127	46081
496	9152	46093
497	9171	46077
498	9189	46056
499	9206	46031
500	9225	46015
501	9246	46011
502	9264	45992
503	9282	45971
504	9300	45948
505	9318	45929
506	9337	45913
507	9354	45890
508	9374	45877
509	9392	45858
510	9410	45836
511	9426	45808
512	9446	45797
513	9464	45773
514	9483	45761
515	9501	45739
516	9519	45717
517	9537	45697
518	9555	45678
519	9572	45652
